epoch,loss
1,1.3148889541625977
2,1.304621934890747
3,1.2999812364578247
4,1.2859658002853394
5,1.2849173545837402
6,1.2764195203781128
7,1.274571180343628
8,1.2773592472076416
9,1.2686728239059448
10,1.2722421884536743
11,1.2707171440124512
12,1.2646373510360718
13,1.253493070602417
14,1.2525194883346558
15,1.2493879795074463
16,1.243419885635376
17,1.2447487115859985
18,1.2347259521484375
19,1.2275859117507935
20,1.222348928451538
21,1.2195457220077515
22,1.214904546737671
23,1.2059847116470337
24,1.1970175504684448
25,1.185900092124939
26,1.1800154447555542
27,1.1825640201568604
28,1.2924214601516724
29,1.2952812910079956
30,1.2791128158569336
31,1.2460042238235474
32,1.2483068704605103
33,1.2353230714797974
34,1.232973337173462
35,1.2348079681396484
36,1.2269338369369507
37,1.2252435684204102
38,1.2217700481414795
39,1.207780361175537
40,1.1915597915649414
41,1.1925102472305298
42,1.2119176387786865
43,1.2206130027770996
44,1.1778783798217773
45,1.1675825119018555
46,1.1744829416275024
47,1.1647006273269653
48,1.1679654121398926
49,1.1612353324890137
50,1.1590845584869385
51,1.1367956399917603
52,1.1244176626205444
53,1.1099315881729126
54,1.0987087488174438
55,1.0835516452789307
56,1.0816113948822021
57,1.0679466724395752
58,1.0708179473876953
59,1.0746241807937622
60,1.0524300336837769
61,1.0388845205307007
62,1.031988263130188
63,1.0262248516082764
64,1.0271940231323242
65,1.010209560394287
66,1.002530813217163
67,1.0000287294387817
68,0.9992954134941101
69,1.0188792943954468
70,0.9871954321861267
71,0.9744414687156677
72,0.9827623963356018
73,0.9802044630050659
74,0.9656771421432495
75,0.9755300283432007
76,0.9766449928283691
77,0.9546573162078857
78,0.9339735507965088
79,0.932486355304718
80,0.9220187067985535
81,0.9196986556053162
82,0.900417149066925
83,0.8973680734634399
84,0.8916683197021484
85,0.8911342620849609
86,0.8760707378387451
87,0.8713420033454895
88,0.8736645579338074
89,0.8718507289886475
90,0.854265570640564
91,0.8601590991020203
92,0.8861345052719116
93,0.8634117245674133
94,0.8379345536231995
95,0.8391165137290955
96,0.8162692785263062
97,0.821485161781311
98,0.832311749458313
99,0.8427844047546387
100,0.8278992176055908
101,0.8391289114952087
102,0.8175771832466125
103,0.8012693524360657
104,0.7985172271728516
105,0.794348955154419
106,0.8111673593521118
107,0.8119943141937256
108,0.8212397694587708
109,0.8067362308502197
110,0.7901701331138611
111,0.7709100842475891
112,0.7828226089477539
113,0.9125001430511475
114,1.1049011945724487
115,1.2019129991531372
116,1.2550992965698242
117,0.9578251242637634
118,0.8611357808113098
119,0.7983435392379761
120,0.7911313772201538
121,0.7864648699760437
122,0.8108790516853333
123,0.8156248331069946
124,0.8324984908103943
125,0.8164210319519043
126,0.7698007225990295
127,0.7534088492393494
128,0.7675586938858032
