task,epochs,loss_start,loss_end,loss_min,loss_min_epoch,end_over_start,relative_improvement,has_nan_loss
snn_marcus50_50k_re2,50000,1418661.0,36513.3984375,36473.81640625,49020,0.025737930652566045,0.974262069347434,False
snn_ns200_50k_re2,50000,24408.20703125,0.3920409381389618,0.3222559094429016,48572,1.6061849100060033e-05,0.9999839381508999,False
snn_seq1_50k_re2,50000,91.06910705566406,53.6630859375,52.713748931884766,7039,0.5892567487754061,0.41074325122459393,False
