run,model,seed,epochs,loss_start,loss_end,loss_min,tf_mse,free_run_mse,free_run_pixel_mse
rnn_pred_seed0_e100_benchmark,rnn,0,100,1837.981201171875,264.90582275390625,264.90582275390625,0.008261811919510365,0.008885986171662807,0.04713081568479538
rnn_pred_seed0_e3000,rnn,0,3000,1837.981201171875,294.9420166015625,43.955284118652344,0.009123832918703556,0.010831326246261597,0.05592029169201851
snn_pred_seed0_e100_benchmark,snn,0,100,3435.224609375,456.549560546875,450.9826965332031,0.014308095909655094,0.019884133711457253,0.09965398162603378
snn_pred_seed0_e3000,snn,0,3000,3435.224609375,323.0812683105469,316.71038818359375,0.009617912583053112,0.017555711790919304,0.08203189820051193
snn_pred_analog_seed1_e3000,snn,1,3000,4006.91357421875,327.0815734863281,324.5733642578125,0.00973618682473898,0.015248983167111874,0.07207351922988892
snn_pred_analog_seed1_e500,snn,1,500,4006.91357421875,343.79071044921875,336.3974609375,0.010342423804104328,0.017665831372141838,0.08377969264984131
snn_pred_onoff_seed1_e500,snn,1,500,3914.61376953125,348.90447998046875,347.218017578125,0.010537933558225632,0.016806483268737793,0.08170729875564575
snn_pred_signed_seed1_e500,snn,1,500,4250.5029296875,350.60809326171875,349.7547607421875,0.010515047237277031,0.014019990339875221,0.06959517300128937
snn_pred_analog_h400_seed2_e500,snn,2,500,3782.830810546875,345.2891845703125,325.69561767578125,0.010498631745576859,0.019050655886530876,0.08992534130811691
snn_pred_analog_lrstep_seed3_e3000,snn,3,3000,3659.58740234375,347.4395751953125,328.94049072265625,0.010196519084274769,0.015943709760904312,0.07601550221443176
snn_pred_analog_thr05_ref0_seed4_e500,snn,4,500,5835.1689453125,359.18865966796875,358.15435791015625,0.011044190265238285,0.027024289593100548,0.12637802958488464
snn_pred_analog_thr075_ref0_seed4_e500,snn,4,500,5783.974609375,358.57012939453125,356.2644348144531,0.011023148894309998,0.028297334909439087,0.13179466128349304
snn_pred_analog_a085_b095_seed5_e500,snn,5,500,3515.08642578125,345.3054504394531,337.11688232421875,0.010419407859444618,0.016441352665424347,0.07941857725381851
snn_pred_analog_ab095_seed5_e500,snn,5,500,3702.42919921875,336.343994140625,336.343994140625,0.010172084905207157,0.015072829090058804,0.07249775528907776
snn_pred_analog_lrstep_finetune_seed6_e2000,snn,6,2000,400.7596435546875,357.2149353027344,344.056640625,0.010666179470717907,0.016423964872956276,0.0792100727558136
snn_pred_analog_lrstep_plain_ft_seed7_e1000,snn,7,1000,341.6654052734375,346.5196838378906,329.33489990234375,0.010340256616473198,0.016146104782819748,0.07705257833003998
snn_pred_analog_ns20_seed8_e100_benchmark,snn,8,100,15267.369140625,1698.461181640625,1666.0574951171875,0.012689899653196335,0.019037310034036636,0.09415441006422043
snn_pred_analog_ns20_seed8_e1500,snn,8,1500,15267.369140625,1411.700439453125,1381.231689453125,0.010567210614681244,0.01553022488951683,0.0753331258893013
snn_pred_analog_ns20_plain_ft_seed9_e1500,snn,9,1500,1417.0478515625,1390.8951416015625,1377.0745849609375,0.010360741056501865,0.016318289563059807,0.07808671146631241
